Binary_label,Category,domain,text,is_synthetic,source,prediction
real,james,Hotel,"My husband and I were there for a conference and had booked the room thru their website, when called to confirm had us down for only 1 night instead of 4, easily changed. First morning cold,cold shower, didn't complain,next day fine. Phone did not work, called every day to complain, and every day said it would be fixed when got back to room, never was. No dial tone, unable to call restaurant, or call for car or call for room service. Finally, on last night someone came to our room while we were there and did fix it. The hotel is beautiful, rooms great and everyone was so nice, even when I was complaining they were nice. Great gym area also, and love the restaurant. BUT, for the money I could easily find another hotel just as nice with a working phone.
",0,Web,real
real,palmer,Hotel,"Here are my experiences: - Had three rooms reserved, when checked in we were charged 2 different rates for the rooms - screwed up initial room assignments, gave us a room that was not even cleaned yet when we checked in - Could not get us new keys to a different room without great difficulty (we had to go to the front desk because bell staff went to the wrong room to give us new keys) - In room guide says pool in on the 8th floor and signs say it is on the 7th - could not get to the pool from the 14th floor without going all the way down to the lobby and then had to go to the 7th floor and take the stairs to the 8th - When we checked in we had the front desk staff go over which credit cards were assigned to which room. - When we received our bills, the credit card assignments were still wrong. I stay at 'economy' hotels a lot and I have not even come close to having this many problems with a hotel until this one. This hotel should do Chicago a service and just close its doors. Due to this experience, I will never stay downtown again to deal with overpriced hotels with poor service and surrounding business that are just as bad.
",0,Web,fake
real,omni,Hotel,"My wife and I travelled to Chicago and really were treated like royalty by the hotel staff! (My brother and his wife also stayed during this period.) The front desk staff, the concierge, the Star Bucks server, the restaurant, the lounge servers . . . all were wonderful! The rooms were spacious and the flat screen tv was really great! The bath room was a real plus ... it was huge and had everything one desires. Great view from 20th floor to Michigan Avenue below! Overall, great stay and highly recommended! 
",0,TripAdvisor,fake
real,knickerbocker,Hotel,"The location of this hotel is excellent. The hotel itself is not a 4 star like they say - in my opinion. The room decor is horrible (probably more European than I am used to) and the room is small and furnished like an old apartment. On the upside, if you want to stay in a great location, feel safe, and can put up with some aesthetic issues and can get a great deal then this will work. I prefer Westin or Marriott...something that you can count on.
",0,Web,real
real,fairmont,Hotel,"We recently completed our second stay at the Fairmont Chicago. The check-in process was quick and painless but the front desk staff was almost disinterested in the whole procedure. That is fine when I am traveling on business, but on leisure trips I would appreciate a warmer greeting. The hotel was hosting a convention at the same time as our stay, but other than seeing some signage/attendees in the lobby, we wouldn't have noticed. This is probably due to the separation of the conference areas from the guest rooms and the 8 speedy elevators. We stayed in a Parkview Suite so we had a large room with a great view of Millenium Park. The anteroom was well appointed with a sofa, coffee table, desk, mini-bar with sink and coffee maker, and dining area. The bedroom appeared to be the same as a standard Fairmont room, but maybe slightly larger. The bathroom also appeared to be similar to a standard Fairmont room, and once again, possibly slightly larger. The upscale modern decor is pleasing but not overtly luxurious, and several small touches such as a shoe shine station (with extra collar tabs), are peppered throughout. We booked a few evening activities through the concierge and everything was perfectly handled. The hotel restaurant, Aria, couldn't find our reservation but they oddly new my name and remembered that the hotel had called to make a reservation for us. They had no problem seating us and the dinner (both food and service) was lovely. Minor complaints: The pillows could be better. I'm not sure if they remembered our preference for non-down bedding from our last visit, but seriously, these things barely felt like pillows. I'll suffer through some congestion if I can get better neck support. Also, the valet parking attendants seem overly eager to take your car (and charge you $49). And as I mentioned above, the front desk experience could be improved. Best feature: After our first stay, I gave a brief review in the comments section of the Fairmont President's Club (membership is free) website. I received a phone call from the Director of Rooms the same day asking to discuss our experience. After this stay, I left a comment essentially thanking the hotel staff for a great stay, but still received a warm, friendly phone call from the Director of Rooms asking if he could do anything to improve our next stay. Kudos to the Fairmont for taking its customers seriously, and for that, they've won my loyalty. 
",0,TripAdvisor,real
real,amalfi,Hotel,"The location was good. Check-in was ok. Asked for non smoking room, given floor with half smoking half non smoking. We could smell the smoke as soon as the elevator doors opened. We asked for and recieved a room on a non-smoking floor. They did not bring up the key, we had to go down to the lobby to get it. Breakfast could have had some healthy choices, the sweet rolls and danish were not fresh. Bananas not ripe. Room only had ONE wash cloth, had to call down for more. Housekeeping NEVER showed up at our room. Not for turndown service , not for the morning clean -up. Called down upon our arrival back to our room after being gone all day and we were accused of putting our the Do Not Disturb sign. They said they would come up and they never came when they said they would. We finally told them not to come because of the time. We wanted to get ready to go out for dinner. Never greeted by anyone as we came and went. I have stayed at the Peninsula and the Burnham. The Burnham was booked during our stay or I would have stayed there.I will NEVER stay at this hotel again, Not worth 300.00 a night
",0,Web,fake
real,intercontinental,Hotel,"After reading some of the most recent reviews I'm really perplexed. I didn't know what to expect, but I was most pleasantly surprised. Just as all the past reviews, both negative and positive, have stated, you can't beat the location of this hotel. It's perfect. We had a big spacious room in the old tower. We avoided the expensive pitfalls of the hotel extras such as bottled water and items in the room fridge. The beds were great, the rooms were kept clean and the staff was very friendly. Great martinis in the hotel bar. I really can't understand the negative reviews. I know you can't please everyone, but in some cases I simply don't believe their claims. I've traveled a lot and have stayed in plenty of hotels. This is a great hotel! 
",0,TripAdvisor,real
real,monaco,Hotel,"The service was reasonably well...they seemed to have my reservation and checked me in fairly easily. The location was fine being that it was central to the city but I found out that it was also a tremendous drawback. It was interesting that the survey I took at the hotel in order to obtain internet access at the hotel asked what my most important quality was in a hotel visit and my response 'Quiet'. My visit was anything but, mainly attributed to the fact that they put me on the second floor, facing the street. I awoke at 4 a.m. and never did return to sleep because of the constant street noise and screeching of the L train that sounded as though it was just outside my window. Not the most conducive for a restful sleep prior to an important meeting. At check-out when I informed the hotel clerk of my dissatisfation he chuckled and said, ' Ah, city noise.'
",0,Web,real
real,hilton,Hotel,"I recently stayed here for the Chicago triathlon. This was my third stay at this hotel. I have not had any issues until this visit. After the 3rd day of my stay I requested my room to be serviced and returned to what I thought was a clean room. While getting out of bed I was cut by a piece of glass in the carpet. I must not have been the first person to be cut in the room because I found dried blood on the bathroom floor afterwards. I had not noticed it before so I was very disgusted. We notified the staff and asked that the room be vacuumed and the bathroom mopped. We returned to the room after 5pm to find that the dried blood was still on the floor. After making a complaint to the customer service I have gotten no reply from the hotel. Considering the price point of this downtown hotel I would think that they would try to live up the 5 star rating but instead they have failed miserably. Luckily there are many hotels to choose from in downtown Chicago.
",0,Web,real
real,ambassador,Hotel,"Stay Away! After generations as an old-world, cozy and stately, if a bit tired oasis, the AE has been purchased by Ian Schrager and taken down so many notches it's almost not functional. Allowing for the fact that the hotel is under renovation, the entrance is not handicapped accessible, and I saw several hotel guests with canes, casts, etc (including myself, recovering from foot surgery and in a cast, with a cane) struggling with the up and down outside stairs one has to navigate just to get into and out of the hotel. With luggage, it's almost impossible. This is simply inexcusable. I've been a customer of the Ambassador East for decades--but no more. The hallways are so dark one can barely see. The rooms are stark white, which in and of itself, isn't a particular problem, but it is jarring and almost painful as one's eyes adjust from the dark hallways. The furniture--stark and scant--looks like something from an Ikea closeout. The bed is comfortable--what a relief--but only about 15 inches off of the floor, a real problem if you're at all physically challenged, or even elderly and less flexible than you were in your salad days. The problems don't end there. My room had a horribly uncomfortable wire/metal desk chair, and absolutely nowhere else to sit. No arm chair, no demi-sofa, no ottoman. With a foot in a cast, it would have been nice to be able to sit comfortably, perhaps even with my leg elevated, while in the room. No way. The bathroom has absolutely nowhere to put any of your toiletries. Not a shelf, a small table, a nook, or a medicine cabinet. If you want to put a razor, shaving cream, makeup (for women) or anything else down so that you can use them, you're sh*t out of luck. Repeated requests for a small table or some sort of chair went unmet. A borrowed umbrella from the front desk was broken and unusable, something I didn't discover until caught in an expected downpour. I was tempted to throw it out, but remembered that they would charge me for it if I didn't return it, in spite of its total lack of usefulness. Refrigerator--forget it. Shampoo? For two days in a row, the housekeeper left several bottles of lotion, and no shampoo. Room service--not available. If you want breakfast, the front desk will sell you a small, pre-wrapped, commercial grade muffin for $4.00--something you can buy in any gas station for $1.00. No added value whatsoever. The photos show a nice entrance, and a large lobby for which the AE has long been famous. Unfortunately, that lobby is closed off, under construction, and the temporary lobby is on the second floor, difficult, again, for handicapped access. Thermos-bottled coffee and water for tea were stone cold, at 8 in the morning. When confronted with these various misses, the front desk staff repeatedly shrugged their shoulders and said, 'Yeah, we know, you're not the first to tell us this stuff.' All this shows is that Schrager doesn't even care to make an effort to make his guests comfortable, and that the staff is either too indifferent or too amateur to know the difference and even make an effort to get it right. It's one thing to get a good price on a hotel room when it's under renovation. It's another thing altogether to get screwed in the bargain, particularly after booking a non-refundable pre-paid reservation. Again, avoid this hotel like the plague.
",0,Web,fake
