Binary_label,Category,domain,text,is_synthetic,source
fake,conrad,Hotel,"The Conrad hotel offered an immersive yet comfortable stay, with a location nestled between green spaces and busy transit hubs, ensuring easy access to local attractions. The room maintained an pristine cleanliness, with meticulous attention to hygiene, while the staff provided warm, professional service. The blend of modern elegance and hospitality made this an unforgettable stay.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in Paris offers a seamless blend of luxury and modern design, with a location near iconic landmarks and a staff dedicated toExceptional service made this stay unforgettable. Rooms are pristine, and daily cleaning ensures a clean environment. While the staff’s attentiveness shines, a minor oversight in room maintenance could elevate the experience further. Overall, it’s a standout hotel for those prioritizing luxury and convenient proximity to the city’s highlights.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in downtown Berlin offers an effortlessly seamless blend of modern luxury and warm hospitality. Location-wise, its proximity to cultural hubs and serene gardens creates an ideal backdrop for relaxation. The hotel’s meticulous attention to cleanliness, from clean bathrooms to floor-level hygiene, ensures a pristine environment. Staff members exhibit professional grace, delivering efficient service and thoughtful personalized touches. Overall, the experience is a harmonious merge of sophistication and comfort, making it a standout stay.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in [City] offers an excellent location centrally situated near popular attractions, making it ideal for both leisure and business travelers. Rooms are meticulously clean, with well-maintained bathrooms and high-quality amenities, ensuring a polished stay. The staff is attentive and professional, with the concierge team providing exceptional local insights. Overall, Conrad delivers a seamless experience that balances convenience, cleanliness, and customer service.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad Parisian Eiffel Tower Hotel boasts an optimal location near iconic attractions and efficient public transit, while rooms exude pristine cleanliness with modern amenities like marble elevators and fresh decor. Staff members exhibit professional warmth, from friendly check-ins to seamless service during requests. The seamless fusion of luxury and hospitality creates an unforgettable stay, solidifying Conrad as a top destination for both business and leisure travelers.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel’s location is effortlessly integrated with the city’s vibrant skyline, offering easy access to cultural hubs and modern amenities. Rooms areExceptional cleanliness ensures pristine bathrooms and polished finishes, while staff exude professionalism through courteous service. The stay was a masterclass in hospitality, blending luxury with warmth, leaving me eager to repeat the experience. (3 sentences, covering location, cleanliness, staff, and overall experience.)",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel's convenient location near key attractions and ample parking made the stay straightforward. Rooms were spot-on with pristine linens and modern amenities like free Wi-Fi and a rooftop bar. The staff was efficiently attentive, offering thoughtful service without being overbearing. The seamless blend of comfort and convenience ensured an unforgettable stay.",1,exaone-deep:2.4b
fake,conrad,Hotel,"Noted the Conrad Hotel’s location is conveniently situated near key attractions, with easy access to public transit and nearby cultural spots, though occasional traffic around the entrance could be a minor inconvenience. The rooms exude a modern elegance—spotless interiors, premium linens, and sleek design—while restrooms and elevators ensure seamless hygiene without compromising comfort. Staff greeted warmly during check-in, offering thoughtful recommendations for local experiences, blending attentiveness with an air of warmth. The balance of polished amenities and relaxed ambiance made the stay both sophisticated and stress-free, leaving me eager to return for another night here.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in [City] offers an elegant yet approachable stay. Nestled near bustling downtown attractions, its location makes commuting seamless—just a short walk to transit hubs or iconic landmarks. Rooms exude a modern elegance with high-quality amenities, and the meticulous cleanliness of the hotel ensures a spotless stay, from towels to public areas. The staff is attentive yet unobtrusive, offering professional service without being overbearing. Every detail, from breakfast options to evening evening evening, shines, making this a memorable yet effortless destination for travelers seeking both comfort and convenience.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel offers an exquisite blend of elegant design and modern comfort, nestled in a prime location near key attractions yet within easy reach of downtown business hubs. Rooms exhibit meticulous cleanliness, from polished surfaces to fresh linens, while staff exude hospitality without any hiccups. This seamless fusion of luxury and practicality makes it a standout stay, ensuring a memorable experience for all visitor types.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel’s prime location in the city center ensured a seamless stay, while rooms were immaculate and polished, offering a perfect blend of comfort and modern elegance. Staff provided attentive service throughout, from check-in to departure, enhancing the evening’s relaxation. The entire experience was unforgettable, blending strategic positioning, meticulous hygiene, and professional hospitality seamlessly.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in Berlin offered an outstanding stay with a pristine environment and elegant interiors. Its prime location near major attractions and modern design created an immersive experience, while staff provided attentive and professional service throughout. The clean, comfortable spaces ensured a polished visit, making this a memorable hotel stay.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad Hotel in City X offers an seamless blend of luxury and convenience. Nestled near landmarks like the city’s financial hub and popular attractions, the location provides easy access to business districts and leisure spots while maintaining a serene vibe. Rooms were spotless, with clean beds and modern amenities, and staff were attentive—check-ins were swift, and concierge services exceeded expectations. The breakfast area was vibrant, and the cleanliness extended beyond rooms to the rest of the hotel. The entire experience was memorable, blending upscale comfort with practical ease.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in Berlin offers an exceptional location nestled near iconic attractions like the Museum of Modern and Contemporary Art and the Brandenburg Gate, ensuring easy access to cultural highlights while maintaining proximity to central business district hubs. Rooms maintain a pristine cleanliness, with meticulous attention to detail in decor and hygiene protocols, from polished surfaces to fresh linens. The staff exhibits exceptional professionalism, providing responsive service from check-ins to concierge-like recommendations, fostering a welcoming atmosphere. Overall, the hotel’s seamless blend of luxury and practicality created an unforgettable stay that stood out for its thoughtful balance of refinement and convenience.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel’s prime location near the city center and beach offered stunning views, while rooms were immaculate and well-maintained. The staff was attentive but occasionally overly formal, though service in the restaurants was exceptional. The hotel’s luxurious amenities and sleek design created an unforgettable experience.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel offers an seamlessly integrated location near bustling city centers and vibrant attractions, with easy access to public transport and iconic landmarks. Rooms maintain a pristine cleanliness, from fresh linens to well-maintained bathrooms, while the staff exhibits exceptional attentiveness, providing detailed knowledge of local amenities and prompt resolution of minor issues. The overall experience is a harmonious blend of modern luxury and hospitality, leaving me eager for another stay.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in city X offers an exceptional location near major attractions and shopping districts, making it ideal for both leisure and business travelers. Rooms are thoughtfully clean, with well- organized closets and minimal dust, while public spaces like the lobby and elevator show attention to meticulous upkeep. The staff exudes warmth and professionalism, with staff members readily available for inquiries or requests. The experience combines sleek architecture with guest comfort, resulting in a memorable stay that balances convenience and refinement.",1,exaone-deep:2.4b
fake,conrad,Hotel,"The Conrad hotel in Berlin was an exceptional experience—its central location made commuting effortless, rooms were spotless, staff were attentive, and the overall ambiance was effortlessly balanced. The breakfast bar offerings and evening evening entertainment selections added extra charm, while staff ensured every detail felt thoughtfully attended to. A standout aspect was the quiet, modern spa facilities paired with a warm, inviting dining zone. This hotel consistently delivered on comfort and service without compromising on cleanliness or personalized touch.",1,exaone-deep:2.4b
