category,label,text,source
sofitel,deceptive,"On our first trip to Chicago, my fiance and I stayed 2 nights on our anniversary and were pleasantly surprised by the Hotel and the service we received from the personnel. In the past from other 'luxury hotels' we have paid much more and received much less. Here the room were very spacious, comfortable and sleek. We spent come time in the hotel bar, LE BAR, and enjoyed a few of their specialty martinis that were second to none! We also enjoyed dinner at the hotel's Cafe des Architectes and received service some of the best service in quite some time. If traveling with a lover we recommend the 'Air of Romance' package. It was the best! 6 stars!",MTurk
james,deceptive,"The James Chicago Hotel is located right in the heart of the one and only, downtown Chicago. This wonderful hotel has many classy and down to earth boutique's, and the views are breath-taking. The hotel just has a warm feeling to it, and the hotel staff is more than excellent. This hotel is situated right across from the Magnificent Mile, and only minutes away from the world famous shopping, dining, and fun for all ages. The James is modern and luxurious. The James is definately a hotel that I would recommend and will go back to in years to come.",MTurk
sofitel,deceptive,I recently traveled up to Chicago for business and had a terrific 3 day 2 night stay at the Sofitel Chicago Water Tower in downtown. The location was perfect as it gave me easy access to Michigan Avenue and the conference center where I was doing business. My hotel room was rather nice with a very comfortable king size bed and a cozy atmosphere. I ordered room service for dinner and it came within 30 minutes so I was quite pleased with that and they serve from their own restaurant which is located downstairs. The food was extremely good and I really enjoyed not having to go out and fight the traffic to find a good place to eat. I had been really tired from my meeting earlier in the day and had no trouble going to bed on the comfortable mattress. I woke up and took a shower and the bathroom was definitely up to standard with any other quality hotel. They had all the soaps and stuff as usual and they had plenty of towels on hand as well. After shower I headed down and they had a breakfast buffet at the restaurant which was free for hotel guests. The breakfast was delicious and started my day out right. After my business stuff was over I really got out and enjoyed Chicago. I met up with a friend who came over and visited my hotel and she was quite impressed with it as well. When I go back to Chicago I will definitely stay at the Sofitel again.,MTurk
monaco,deceptive,"My stay at the Hotel Monaco Chicago was amazing. The staff are polite and well poised, eager to give a helping hand in a short notice. To someone like me, who had never even been in the city of Chicago, it really gave me a good feeling throughout my whole trip. The rooms, hallways and facilities were exceptionally clean and tidy, and whenver I went out, I would always find my room perfect ; be it for a night of undwinding after one of my conferences, or just to hit the mattress and sleep. During my stay, I stopped at their restuarant where I had one of the best American style meal in a while. Overall, the Hotel Monaco is a place I would surely stay at again if given the chance to visit Chicago for a second time. It is truely exceptional.",MTurk
hilton,deceptive,"The Hilton Chicago was amazing!! It is close to almost everything that Chicago has to offer! We could walk to Lake Michigan, Grant Park, Niketown, Watertower place, etc. The rooms were very nice and refreshed every day. Also, they allow pets!! You don't have to go far to get good food because they have a few different restaurants right there! Overall experience was an A++.",MTurk
hilton,deceptive,The Chicago Hilton is a great hotel our stay there was fantastic. The hotel is placed in the heart of the city were you can find it a easy walk to almost everything from the local colleges to the great restaurant that surround the city. The room itself was clean and the staff was fun and helpful. I can't really say anything bad about this place it was a great time and a great place to stay while we were there.,MTurk
hilton,deceptive,We chose to stay at the Hilton Chicago because it was in such a centralized location- everything that our family wanted to do in town was located so close! What I didn't expect was for the beds to be so comfortable. I can't remember when I got a better night's sleep. The staff was very friendly and the hotel grounds were impeccably kept. We'll be returning to the Hilton Chicago the next time we're in town!,MTurk
hilton,deceptive,"The Downtown Chicago Hilton was the best combination of all the things we were looking for in a hotel- perfect location for both those of us who like shopping and those of us who prefer tourist attractions. Staying with a Hilton means the essentials are never a concern- as always, the room was clean and impeccably neat, the staff friendly and very capable. The wireless access and big flat screen TV were an added plus too! Best of all, it is a pet-friendly hotel, something that is unusual in bigger city 4-diamond hotels. Thanks, Chicago Hilton, for a great stay!",MTurk
monaco,deceptive,"This is a beautiful hotel with a great view of the Chicago River and a short walk to all the best places to visit in the city! I had an unbelievably pleasant and relaxing stay with an in-room massage and fantastic room service. If you're looking for a vacation in Chicago and want to experience the best the city has to offer as well as live in luxury and comfort, I highly recommend this hotel and I would definitely come again!",MTurk
sofitel,deceptive,I think the Sofitel Chicago Water Tower is a upscale place.I had my wedding there and it was the best of the best.The staff was so helpful and made me feel confident that my wedding would be a success. The chef prepared a lavish sit down dinner with appetizers and desserts.They also had a wonderful pastry chef who baked my wedding cake.The tables were decorated in very good taste and could not be more perfect.The bar was also set up the way I wanted it and even had a champagne fountain. My guests had a wonderful experience with their stay at the hotel and felt pampered.The rooms were like suites with a mini bar.They had terry cloth bathrobes in each bathroom. If you are looking to have a wedding in the Chicago area look into having it here you will not be disappointed!,MTurk
allegro,deceptive,"When I had to visit Chicago for business I asked some of my associates where to stay and several of them recommended the Hotel Allegro. After my stay I can honestly say that I agree. From the luxurious bedding to the technological amenities, everything was thought of. The only place I find more comfortable then this hotel is my actual home. I now know where I will be staying every time I have business in this city, and anyone I know who is doing the same will hear so.",MTurk
allegro,deceptive,"The Hotel Allegro in Chicago is understated luxury. I love the minimalist decor, and the linens were quality and exquisite. You can't beat the location, either, it's located in the heart of the theatre district. Walking distance to all the great restaurants in Chicago! They also offer an in-room spa service, which is pure decadence. I chose to indulge in the Eucalyptus Mani/pedi. It was by far the priciest manicure and pedicure I have had in my life (135 dollars) but it was a wonderful experience. The eucalyptus treatments left my hands and feet feeling so soft yet refreshed at the same time. I highly recommend this hotel if you want to experience the finer thingsthis gorgeous city has to offer.",MTurk
amalfi,deceptive,"Amalfi Hotel Chicago is just minutes from Navy Pier, Michigan Avenue, the Chicago Opera Theater, The House of Blues, and the hottest night clubs. At $200.00 per night, you can expect the very best from your staff, and your accomodations. When I arrived for my weekend stay, I was greeted by a pleasant surprise of wall art, and eclectic style. After reaching my room, I was able to relax in peace on the numerous pillows. I didn't choose to use the spa this trip, but when I come back, it will be the first item on my list! The business office was great, because I had a last minute emergency with work- thank goodness for cocktail hour. Breakfast was delicious. I have already told a friend from Naperville that the next time I'm in town, she'll have to stay at Amalfi with me, instead of commuting. She really missed out! -Atlanta Girl-",MTurk
intercontinental,deceptive,"We just returned from a relaxing stay at the InterContinental in Chicago. I have to say the service was phenomenal! From the maid to the concierge and everyone in between, the staff treated us like royalty. It was quite the treat to feel so special. Our room was gorgeous. The view of the city was breathtaking. The luxury mattress and bedding made for the most comfortable peaceful slumber. We found the marble bathroom stunning and impeccably clean. My wife was very pleased with the lighted make-up mirror while I enjoyed the reliable Wi-Fi connection. During our stay we dinned in the Zest. Wow! They offer an extensive wine menu and a full array of gourmet food options. We had to try the famous wiener schnitzel -- it was scrumptious. Afterwards, my wife and I shared the chocolate lava cake, can I just say oh that cake is to die for! Really the best we ever had. In the morning we spent some time working off dinner at the junior olympic swimming pool; followed by an exhilarating round of cardio in the hotels dedicated cardio room. Afterwards, a trip to the sauna was a well deserved refuge. Overall, our stay at the InterContinental in Chicago was nothing short of fabulous. This luxury hotel is complete with the finest of amenities and the most caring staff. We are looking forward to staying at the InterContinental again, hopeful soon!",MTurk
intercontinental,deceptive,"This hotel is in a great city with great personnel working there. The rooms are more than you can expect for a hotel. The services are abundant, leaving no room to complain. With their fine diners, you cannot go wrong with enjoying a peaceful meal while relaxing. With this hotel, it is truly an all-in-one hotel. There are meeting rooms and business centers, leaving unfinished work not be a worry during the stay. In addition, the spacious swimming pool is just the thing needed to relieve yourself of stress. The views from the rooms are breathtaking. I would definitely recommend staying there!",MTurk
intercontinental,deceptive,Very beautiful hotel with a wonderful view. The dinning selection is one of the best I have seen in Chicago. I have stayed many places downtown Chicago and nothing matches this. I am a single mother with two children and the concept of having a day care facility on site is just not great for me but for my children as well. The shopping area has great selections right outside of the doors. The biggest thing that I have to say is that the Customer service was great with everything that I needed. I give the hotel a 5 out of 5.,MTurk
amalfi,deceptive,"If you have the money, Amalfi Hotel is the place for you. All the way from it's 316 thread count, Egyptian linens to the 24 hour fitness center. This hotel has anything you would need or want. The rooms are equipped with free wi-fi, 32in plasma televisions, multi-head showers and much, much more. You can do anything from fine dining and wine to working on the computers in the business center, which is equipped with computers free to your use. After a long night at the bar, you can get a complimentary breakfast at each floor. Over all the service is great as well. I recommend this hotel to any one from business professionals to young singles looking for a good time. I plan on coming back very soon.",MTurk
allegro,deceptive,During a recent business trip to Chicago I had the pleasure of staying at the Hotel Allegro. The lobby gave a good first impression. It was a very clean with a modern designer's feel and the customer service was great. I proceeded to the counter to check-in and within 5 minutes I had the key to my room. I was told to check out the infamous 312 restaurant but I was tired from my flight. I checked into my room. The room was great. A king size bed 37' flat screen tv and standard desk all designer furniture. After I unpacked I had to check my email. Hooking up to their Wi-Fi was quick and painless! I had a good night sleep and early wake up the next day for my business meeting. I decided to try the restaurant for breakfast. I had an omelet and fruit. The restaurant was great and the food was perfect. I only wish I had more time to stay and enjoy lunch; nevertheless duty called. The concierge had my taxi waiting for me right after breakfast and I was off to work. I would recommend this hotel to anyone visiting Chicago. It's one of the best I've ever stayed at after multiple business trips.,MTurk
intercontinental,deceptive,"This hotel is absolutely beautiful. I is elegant, comfortable and a very relaxing stay. It was easy to get to the airport and very close to shopping. I felt like a king in a castle surrounded by luxury and beauty. I would recommend this hotel to anyone.",MTurk
intercontinental,deceptive,"My family's seven day stay at the InterContinental Chicago hotel was more than I could ever imagine. The InterContinental is more fantastic than any previous hotel I have visited, because of its wonderful amenities, such as the excellent 24 hour room service, access to personal trainers,and even a dry cleaning service, just to mention a few. My family really enjoyed dining on the contemporary American cuisine at the hotels Zest Restaurant, which served an excellent meal worth every dime of its reasonable price. My most favorite point about the InterContinental Chicago is that it provides entry right into the Windy City, where my family and I had immediate access to transportation, shopping, and city attractions. We had a great time traveling through Chicago and enjoying ourselves while at the same time we felt secure knowing that we had a nice, clean, elegant, safe hotel to travel back to whenever we were done touring the city each day. The InterContinental is a must stay and I will recommend them to anyone who plans on visiting Chicago.",MTurk
amalfi,deceptive,"My fiance and I had taken a trip to Chicago and wanted to stay someplace close to Downtown, so he chose the Amalfi Hotel, located conveniently to everything we needed. This place was phenomenal!!! He chose a romantic getaway package, as we were only in town for a few days and it was the best choice ever. The hotel is super clean and very chic; the beds are so comfortable and the staff is superb. We were able to bring along our dog, which was also really important to us. The first day we were there, we had gone out during the day with our dog and came back to an in-room couple's massage. The masseuses come straight to your room so it's really relaxing and stress-relieving and they were great. After our massages, we went to the Keefer Steakhouse, which the hotel gave us a gift certificate for and the food was fantastic. They do also have a great continental breakfast and we did also eat at the Rocket grill, which was nice as well. In all, our 3 nights there were pretty similar, we went out during the day and had a great time at the hotel while we were there; I've recommended this place to a few of my clients going to the Windy City.",MTurk
amalfi,deceptive,"This has been one of the most pleasurable hotels Ive ever stayed at. From the beautiful concourse to the amazing food, Amalfi really exceeds its standards. The in-room spa service was so relaxing and the tang of the wine was incredible. I highly recommend this hotel as I will give my stay a 5/5 stars.",MTurk
palmer,deceptive,"The Palmer House Hilton is located in the heart of the theatre, financial and shopping districts of downtown Chicago. It is walking distance to museums, shopping, government and corporate buildings. The location makes it perfect for visiting Chicago. The rooms are luxurious, with super comfortable beds and soft sheets. The rooms was clean and quite nice looking. The hotel's restaurants are amazing. The hotel would definately exceed your expectations, whether you are a business traveler or there on vacation.",MTurk
allegro,deceptive,"For Top Class Treatment Choose Hotel Allegro. In all of my years of buisness travel and vacationing, I have never been more happy with the service at a hotel than I was at Hotel Allegro. I searched many hotel websites looking for the perfect hotel to spend our honeymoon, and Hotel Allegro seemed like the right choice. Soon as I walked into to their elaborate lobby area, it was like I was a big shot on Wallstreet, the service was excellent and the best part, they allow animals. They treated my little dog Johnny like he was royalty. They have everything you could ever need in a hotel, from in room spa service to a workout center. They even made sure that I had all of my drinks and amentites ready for the Monday night Bears game. If I were to give have to rate it from a 1 - 10. Id have to give it a 10 many times over. I highly recommend Hotel Allegro in Chicago Illinois and I will be back again.",MTurk
intercontinental,deceptive,"The Inter Continental is a great hotel. The staff was very friendly, and the accomidations were great. The room was clean and ready on time, and the indoor swimming pool was perfect considering Chicago's weather. Eno was simply AMAZING. Their wine selection is second to none. And the Turkey Pumpkin Curry at Zest was to die for.",MTurk
amalfi,deceptive,Great location in Chicago downtown. The staff is professional and warm. The room is spacious and clean. Nice complimentartry breakfast. I will definitely stay here again next time in Chicago.,MTurk
allegro,deceptive,"This was my first time in Chicago and I tell you they really made me feel like a million bucks. I took a taxi straight from the airport and was greeted at the door by a kind gentlemen who offered to help me with my luggage and assisted me to the check-in counter. I made my way up to my room, which was spectacularly bright and well-lit, then I ordered some food. All in all the food was delicious and the staff were fantastic. If I didn't have such a short stay in Chicago I would have stayed in my hotel room all day!",MTurk
palmer,deceptive,"The Palmer House Hilton hotel has it all for the business and leisure traveler out there! I stayed at this hotel on business and all I can say is WOW!!! One of the main things that I liked about the hotel was the indoor pool! I loved being able to go swimming even though it was December and 5 degrees outside! Also, the hotel does offer wireless in the room and this really came in handy for me to keep up with my work after my meetings. I dined at Lockwood Restaurant and Bar and the food was amazing for a hotel! One thing that was a minor negative is that pets are allowed and my original room was next door to a barking dog, but the hotel staff was fantastic as switched up my room so I didn't have to deal with that! All in all, this hotel was fantastic and I look forward to the next time I get to stay here!",MTurk
amalfi,deceptive,"Last weekend my wife and i decided to take a weekend trip to Chicago. When looking for a hotel we weren't all that interested in price, but more of a relaxing getaway in the heart of downtown. I did some research and and came across the Amalfi Hotel Chicago. What sparked my interest was it's location and the fact that they offer in room spa treatments. Located in Chicago's river north area, it is close to the magnificent mile so we can get all of our shopping done while staying relatively close to the hotel and also do some sightseeing along the chicago river on one of many chicago boat tours, both of which were fantastic! After a long day out on the town we came back to the hotel to induldge in their in room spa treatments. My wife got the whole works (facial, manicure and pedicure, and hot stone massage therapy), while i enjoyed a deep tissue massage to get rid of some of the pain from walking around all day! For dinner we went downstairs and enjoyed a fabulous dinner at Harry Caray's Italian Steakhouse. Best steak I've ever had, hands down. When we were finished with dinner we just wanted to go back to our room and relax so we hopped into our comfortable king size bed, put in a movie with their in room dvd players and beautiful 32 inch HDTV's. For anyone looking for a nice relaxing getaway to the great city of Chicago, I would recommend The Amalfi Hotel Chicago to anyone. They offer anything you could ever want in a luxury hotel plus more.",MTurk
amalfi,deceptive,"having stayed in standard hotels before, when my wife suggested we stay in an upscale hotel for our weekend in Chicago I was skeptical to say the least. After staying at the Amalfi Hotel I may never stay in a regular motel again! Right off the bat instead of a 40 foot counter with snooty workers or kids that started two days ago they have individual desks for check in with people that *gasp* have a clue as to what they are doing. We got the steakhouse package deal at the on-site Keefer's Steakhouse restaurant the food was the highest quality and cooked to perfection. The room was spacious had robes and slippers, a stocked mini-bar, The mattress was comfy, and the whole room was clean. The staff was amazing and had no problems bringing extra towels and pillows for my wife. In the morning the continental breakfast was served on each floor instead of herding into the lobby which I loved cause I love breakfast but not crowds. Unfortunately for me the hotel was close to a lot of shopping, my wife was in heaven however, and we spent a large portion of the day on the magnificent mile attempting to max out my credit cards. The whole trip I believe was made special by the atmosphere of the hotel and its staff I would recommend the Amalfi to anyone visiting Chicago.",MTurk
intercontinental,deceptive,"Wow! I have been to many hotels as a business man, and have seen my fair share of garbage dump hotels. But wow, this hotel was great. The staff was prompt, the room was extremely clean, and everything just ran like a well-oiled machine. I was particularly impressed with the fact that the front desk gives out free toiletries and other things. Usually I have to pay 5$ for a stupid toothbrush, but not here! I really enjoyed staying at InterContintental. I was very worried about the Chicago area's reputation of bad hotels, but this turned out just great. Next time my boss flies me out to Chicago, I know where I am staying!",MTurk
amalfi,deceptive,"The Amalfi Hotel in Chicago was by far one of the best experiences I've had. It definitely felt as comfortable as home with the all the luxuriance of a five star establishment. I had forgotten my favorite CD that puts me to sleep each night. When mentioning this in front of the Front desk clerk, she told me that they have a huge collection of CD's available for guests. Low and behold, they had my favorite CD!! Also, my laptop was not cooperating. Come to find out, they offer every guest full access to their amazing and fully functional business center! From now on, when visiting Chicago, I will ONLY be staying at the Amalfi Hotel!",MTurk
palmer,deceptive,"I stayed here with my family when we were in Chicago on a family vacation. All I can say is WOW! A fantastic experience all around. First off, the hotel is magnificent, the lobby/entreway is jaw dropping to say the least. Everyone we dealt with from the desk clerks, to the cleaning staff, to the doormen were all exceptionally cordial and friendly. The rooms themselves are fantastic, perfect for a business person there for a stay or for a family there for recreation. The new Serenity beds that the Hilton offered were to die for! One of the most restful nights sleep i have had in years! The kids loved the Ipod docks in the rooms and my wife and I loved th fact the kids could keep their bedroom ice cold like they like it and we could keep it warmer in ours. As usual, it had wifi, which was ultra cheap and very very fast. Over all i highly recommend The Palmer House Hilton!",MTurk
allegro,deceptive,"A few nights ago, I stayed at the Hotel Allegro in the Theater District of Chicago. I'd heard some amazing things about the great food, and how friendly the staff were. Upon arrival, the service at the front desk and the bellman was fantastic! They treated me as if I stayed there all the time! The rooms were cozy, with very comfortable beds that helped me sleep through my jet lag. I ordered breakfast the next morning, and had room service bring it up. The meal was brought up only a few minutes after ordering, and was delicious! I would recommend these accommodations for anyone traveling, or any families staying in Chicago, as the rooms were very reasonably priced, and is a short distance to lots of great sites. Next time I come through Chicago, I will definitely be staying here!",MTurk
allegro,deceptive,"My husband and I stayed at the Hotel Allegro Chicago to celebrate our 2nd wedding anniversary this past weekend. The hotel is the perfect combination of sophistication and glamour from the moment you arrive. The concierge staff was very friendly and accommodating throughout our weekend stay, and the hotel itself provided many interesting and fun things to do. We were very impressed with the overall setup of the hotel; the lobby, dining areas, and rooms all had a special touch of class that made our weekend exciting and full of luxury. The decor of our room was very modern and eclectic with hues of blue and white, and lighting that complimented and set the mood. The bar and lounge areas had excellent service, and the views from our room perfectly captured the excitement of downtown Chicago. Additionally, my husband and I were extra pleased to learn that because we are AAA members, we would be receiving 20% off our room rate for the weekend. Overall, the amenities and experience of staying at the Hotel Allegro Chicago made us feel like movie stars, pampered and taken care of all weekend in a classy establishment, one in which we would definitely choose to stay again.",MTurk
amalfi,deceptive,"This hotel allowed me to experience the best of Chicago. The central downtown location was perfect for me and my boyfriend to come and go as we pleased, whether during the day or at night. It was a great get-away spot for me to relax away from work. Probably one of the best beds I've ever slept on. The Italian food that they served at Harry Carey's reminded me of when I lived in Italy. Overall a completely amazing experience. I can't wait to book my next stay here.",MTurk
intercontinental,deceptive,This is a great place to stay while visiting Chicago. My husband and I went over the holidays to see my family and we stayed at this hotel. We could not have asked for nicer people! Everyone was always smiling and very helpfull! We usually stay at the Ramada...but will never stay anywhere other than the InterContinental Chicago hotel again! - Casey L. Skinner,MTurk
intercontinental,deceptive,"I am so glad I decided to stay at the Intercontinental Chicago for my first trip to the city. The staff is very attentive, I felt like I was the only person they had to take care of! The location is great, right on the Magnificent Mile and so close to major attractions. My suite was well appointed and very clean. I even looked behind some furniture for dust and couldn't find any. The hotel is very luxurious. The sheets and towels were very soft and the bed very comfortable. The next time I travel to Chicago, I will definitely stay at the Intercontinental again.",MTurk
palmer,deceptive,"My stay at The Palmer House Hilton was wonderful. I was attracted to this Hotel because it was going to be me and my finance's first time in Chicago. The location of the hotel was perfectly placed Downtown Chicago We took advantage of the Hilton Bed and Breakfast Special. Upon Check in on Friday afternoon we went to the Lockwood restaurant before going to the room for the weekend. We stayed in a One Bedroom Suite with a King Size Bed. The Hotel was spotless. I have never been in a Hotel Room that was so clean. The portions of food was perfect, and everything they provided was on point. I would recommend this hotel for anyone who is going to visit Chicago for the first time. The staff is professional, and let you feel like a King and Queen.",MTurk
intercontinental,deceptive,"Recently I traveled to Chicago for business. I was treated to a stay at the InterContinental Chicago by my employer. It truly says something about your company when they are willing to go the extra mile to make time away from family and friends as comfortable and as relaxing as possible for you. I was greeted by a series of smiling faces that were employed at the hotel and all were eager to help. I checked in at the amazingly lavish lobby and was escorted by hotel staff who assisted me with my bags up to my room. My room was dripping with taste. The stylish room was only made more accommodating by the amenities it offered. With a mini-bar, large flat-screen television, and an entire home office setup, I barely had to leave the room. Why would I want to with the amazing views of the lake and entire city. What an amazing experience I had and I will gladly come back.",MTurk
palmer,deceptive,"The Palmer House Hilton hotel takes luxury to a whole new level of existence. The rooms are beautifully decorated, with class and superior quality furniture. The hotels restaurant 'lockwood' consist's of delicious French and Italian cuisine. The location is in the prime area to downtown, and shopping areas. This hotel is suited for pristine guests, and those who are not willing to settle for less. If you're looking for not just any stay, but a stay in luxury, you should give The Palmer House Hilton a try. It is one of the best of the best in Chicago, and your stay will be one to remember.",MTurk
palmer,deceptive,"My husband and I recently chose the Palmer House Hilton for a rare couple's getaway from our usual life, and an escape it truly provided. There is something to be said for all the modern amenities combined with an aesthetic drawn from a grander and more luxurious time, let alone with ever-elusive accessibility for a wheelchair user! A bonus was that we did not need to feel like we must lug half our usual household with us, because things like alarm clocks, hairdryers and ironing boards were already there, electronic media even available for rent. With a comfortable bed, control over how the room felt, no need to search elsewhere for coffee and excellent room service at our beck and call, we had to remind ourselves that we had planned to leave our room to take advantage of all the Chicago culture in close proximity. Too often a hotel is an overpriced way to get out of making your own bed in the morning, but the Hilton was a true vacation. Thank you.",MTurk
amalfi,deceptive,"Amalfi Hotel Chicago has several factors that make it one of the best hotels in the chicago area and an experience you will not forget in a long time. Its proximity to some of the best spots in Chicago makes it a visitor's delight. It is close to the Magnificient Mile which is the shopping area, it is also close to the Loop, Merchandise Mart and Michigan Avenue making it a fantastic location with great layout and it has lots of space. Each guest room includes a flat screen HD TV. The beautiful reception has free snacks and drinks even as the hotel provides free breakfast. The 24-hour fitness centre is always open for business.The hotel has a no-smoking policy. It also has free internet facilities, room service, Air conditioning, laundry/drycleaning, multilingual staff to make communication easy, spa services, heating, conference facilities, satelite tv, brailed elevators and pets are allowed. The Concierge desk offer the best wine available and I must add that the wine is great. The hotel prides itself in making you feel like royalty. The staff are very pleasant and the door men are always willing to lend a hand. The hotel places priority on cleanliness as the rooms are always clean. The hotel makes it possible for you to relax, go shopping in the best stores which are close-by, eat in some of the best restaurants and party in clubs most of which they have entered into some form patnership. They offer great deals for every type of customer. I would definitely recommend this place.",MTurk
intercontinental,deceptive,"My husband and I visited this hotel on our way home from our honeymoon. It's a very nice hotel, but the valet parking is very expensive, $53.00 per night was rather high so we opted to park our own car. The pool was very nice, and the water was warm. The front desk was very nice and helpful, If I ever visited Chicago again I would stay there.",MTurk
palmer,deceptive,"A hotel made for royalty. Decked out to the top with luxuries you could only dream of, it is an amazing experience! It's located right in the middle of everything in Chicago, and pulls in all the best attributes of the city into one fun filled experience. The customer service was fantastic, as they were very responsive and polite to my requests and fixed any complaints without a complaint of their own. A beautiful experience that I would certainly do again!",MTurk
amalfi,deceptive,"My friend and I visited Amalfi Hotel last week when we were in Chicago and found it to be a great place, very sophisticated and luxurious, with lots of attention to detail in the decor and wonderful customer service. The beds were comfortable. The room service was great as was the gym... I fully enjoyed the views from the hotel room... so beautiful at night... the city scape. And in the morning, the free continental breakfast was delicious. It was a wonderful experience being at the Amalfi Hotel in Chicago. I am eager to visit there again.",MTurk
amalfi,deceptive,"My husband and I stay at the Amalfi every year for our anniversary. We just love it! The service is wonderful and the staff is very friendly. The hotel has very good cuisine options, which are all very tasty! The hotel is in close proximity to downtown and all the fun things going on there. The rooms are very comfortable and quiet. Perfect for relaxing! Will definitely keep coming back!",MTurk
intercontinental,deceptive,"The InterContinental Chicago is conveniently located near MIdway airport so the commute was short and easy. The room had a great view of a lake. Room service was available 24 hours a day and the room came with a coffeemaker where you got complimentary coffee and tea which was great I did not have to go out for my morning cup of coffee. There was a business center that had internet, fax machines, and copy machines that was available for use 24 hours a day. One of my favorite things was the fitness center which had masseurs, it was exactly what I needed, very relaxing. The food at the Eno was some of the best I ever ate especially the chocolate, I never wanted to leave. This was a great hotel experience and I would stay there again.",MTurk
palmer,deceptive,"My husband and I stayed at the Palmer House Hilton in Chicago for our anniversary. The hotel was beautiful and luxurious as one would expect from a Hilton brand hotel in a major city. The service was excellent with check-in and check-out going smoothly. The location of the hotel was ideal for us as we had plans to attend the theater, visit the Lincoln Park zoo and picnic by the lake. All of these were very close to our hotel. The price was reasonable for the location and luxurious accommodations. We also enjoyed the hotel restaurant and lounge. Highly recommend.",MTurk
