Total: 1592 | Train (vector store): 796 | Test: 796

============================================================
  Evaluating model: gemma3:12b
============================================================
  [368] True: real | Pred: real
  [1462] True: fake | Pred: real
  [1470] True: fake | Pred: real
  [1531] True: fake | Pred: fake
  [0] True: real | Pred: real
  [857] True: real | Pred: real
  [38] True: real | Pred: real
  [589] True: fake | Pred: fake
  [314] True: real | Pred: real
  [749] True: fake | Pred: fake
  [1580] True: fake | Pred: real
  [72] True: real | Pred: real
  [256] True: real | Pred: fake
  [551] True: fake | Pred: fake
  [1272] True: fake | Pred: fake
  [176] True: real | Pred: real
  [629] True: fake | Pred: real
  [549] True: fake | Pred: fake
  [730] True: fake | Pred: fake
  [922] True: real | Pred: fake
  [739] True: fake | Pred: fake
  [1501] True: fake | Pred: fake
  [522] True: fake | Pred: fake
  [562] True: fake | Pred: fake
  [285] True: real | Pred: real
  [413] True: fake | Pred: fake
  [1495] True: fake | Pred: fake
  [1263] True: fake | Pred: real
  [133] True: real | Pred: real
  [872] True: real | Pred: real
  [281] True: real | Pred: real
  [901] True: real | Pred: fake
  [965] True: real | Pred: real
  [1249] True: fake | Pred: fake
  [844] True: real | Pred: real
  [201] True: real | Pred: real
  [725] True: fake | Pred: fake
  [9] True: real | Pred: fake
  [1438] True: fake | Pred: fake
  [1589] True: fake | Pred: fake
  [1545] True: fake | Pred: real
  [343] True: real | Pred: fake
  [304] True: real | Pred: fake
  [944] True: real | Pred: real
  [505] True: fake | Pred: fake
  [165] True: real | Pred: real
  [1323] True: fake | Pred: real
  [1067] True: real | Pred: real
  [1042] True: real | Pred: real
  [1144] True: real | Pred: real
  [911] True: real | Pred: real
  [108] True: real | Pred: real
  [1041] True: real | Pred: real
  [167] True: real | Pred: real
  [494] True: fake | Pred: fake
  [787] True: fake | Pred: fake
  [873] True: real | Pred: real
  [747] True: fake | Pred: fake
  [1457] True: fake | Pred: real
  [197] True: real | Pred: real
  [1196] True: fake | Pred: fake
  [384] True: real | Pred: real
  [253] True: real | Pred: real
  [1301] True: fake | Pred: real
  [1029] True: real | Pred: real
  [92] True: real | Pred: real
  [1320] True: fake | Pred: real
