Binary_label,Category,source,text,is_synthetic,prediction
fake,Home_and_Kitchen,amazon,"Air pressure was utter crap.  I kept the lid on for a few hours, then ran the vacuum through the top.  I am not sure how the plastic lid would hold up to that.  I still use it, but it's a little thin and doesn't",1,fake
fake,Home_and_Kitchen,amazon,"Not what I expected, smaller than expected, but very comfortable.

The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very",1,fake
fake,Home_and_Kitchen,amazon,"We like a toaster that doesn't have the long handle but it's also a very strong one.I bought this for a friend, she loves it!  It's great for storing rice or pasta.  It's a little thin, but it's very sturdy.  The handle is great for holding a cup of soup or other non-dairy liquid.  It has a very nice height for a",1,fake
fake,Home_and_Kitchen,amazon,Love these pans they work great. The only problem is that they are small. I have one and a half cup,1,fake
fake,Home_and_Kitchen,amazon,"I love the print on the back and the finish. I also love that it's been made in a very sturdy, non-slip construction. The print is a great color and is very well made. It will be a perfect gift for my daughters and me.",1,fake
fake,Home_and_Kitchen,amazon,"Bought this on a whim and it was the best purchase I made.  It's been one of my favorite B-cups, and",1,fake
fake,Home_and_Kitchen,amazon,"I admit I was leary of the suction, but I did not need it. I just wanted a cup of tea and I am glad I did.

This is a great fan. It is quiet and easy to operate. The size is perfect and the fan is very quiet. I have 2 people with small hands and it is very quiet and easy to operate. I also like that the fan does not have a fan controller which",1,fake
fake,Home_and_Kitchen,amazon,Purchased one as a gift and it was a very nice item.  I have a large,1,fake
fake,Home_and_Kitchen,amazon,"I wanted something to hold a bunch of pieces of clothing but it's kind of hard to find.

I had to get a solid piece of fabric out of the box and it's just not worth it.

I'm going to give it a try.The shape of the mattress is a little off, but it's a good quality and well made. It has a very nice height for my bed and it's comfortable to sleep on. I will buy another for my queen bed.I love it. I use it every day, and it is so easy to",1,fake
fake,Home_and_Kitchen,amazon,"I'm so happy I found this set and am very pleased with it.  I would recommend them.I bought this for a friend, and she is a very tall woman. She is very happy with it. It looks good in her bed. I would recommend this to anyone.I bought this to put in my closet to keep things in the closet and it is a great quality. I love the colors, the colors are nice and strong. It is easy to clean and easy to wash.I bought this for a friend, she loves it, she loves it, she just loves it. She makes Christmas cookies. She said it was perfect for her. She said it is a little difficult to put together and does not fit my",1,fake
fake,Home_and_Kitchen,amazon,Very good cookware and a nice size too.  I've had mine for a couple of years and it,1,fake
fake,Home_and_Kitchen,amazon,I love these containers. Easy to store and the long handle makes it easy to move around. ,1,fake
fake,Home_and_Kitchen,amazon,"It looks good hanging from the wall, but the instructions are a little difficult to read.",1,fake
fake,Home_and_Kitchen,amazon,"I just used mine to make an apple pie crust. I did not need a pie crust, but",1,fake
fake,Home_and_Kitchen,amazon,"This laundry center has streamlined and has kept the tools comfortable for a long time. I have one in my bathroom and the other in a closet. The basic design is nice and it is easy to set up and use. The carpet is very soft and the materials are excellent. The colors are great. The colors are also great. I love the fact that it is a solid color. I love the fact that it has a nice depth to it. I like that the colors are longer than the standard ones. I'm going to order another set of these for my bathroom. I'm very pleased with this purchase.A must have for every day use.  I have to get on the couch and sit on the couch, but my son can sit on the couch too.  I have a dog and my husband can sit on the couch too.  These are great for sitting on and on the couch.  I have a dog who doesn't like to stand on the couch but he loves them and they are good for him too.

I would definitely recommend these to anyone who wants a good quality vacuum, and these are a great value for the money.I bought this for my daughter to use with her headboard.  It was easy to install and did not require the use of a plastic cap.  The blade is a little long but it works great.  The brush works well and is a bit easier to use.  I am a big fan of the 2 stars because it does not make the blades slow or scald.I really like the color of this pillow.  It is soft and warm.  I haven't tried to wash it yet but",1,fake
fake,Home_and_Kitchen,amazon,This is a great little tool. The only problem is that it takes a little getting used to.,1,real
fake,Home_and_Kitchen,amazon,These pillow cases were purchased for a friend and she loved them. These were the first one she bought so we had to get a second one for her. She is very pleased with them.,1,fake
fake,Home_and_Kitchen,amazon,"I have never worked with this type of product, and I will never be buying this again.Great product. Great price! I am very happy with the purchase.This is a great fan. It is quiet and does the job. The size is perfect and is perfect for my needs.I bought this as a gift and it has been great!  It is a little heavier than I expected but it works!  I used it to make homemade chili with a cup of coffee.  I have had no problems with the color.  I love that it is made in the USA.  I am really happy with this purchase and am happy with the quality.I bought this for my daughter for Christmas and she loves it. It looks amazing in her room. It's also a great quality. I wish it had been a little larger, but I haven't found it.Works great on my sink. I use it for my curtains and it is very convenient. I just rinse it before using and rinse with water. Easy to clean. I use it for all my window curtains. I use it on my outdoor patio. I put it in the bathroom and it is very comfortable. It's not a big deal but it's a nice feature.I love these!  I just bought a second one for my second wedding and this one is perfect!  It looks great and fits my hand perfectly!This is a great quality, quality, and fast shipping. I would definitely buy again!Bought this for my daughter to use as a bar stool. She is very tall and works great. It is perfect for a small bathroom",1,fake
fake,Home_and_Kitchen,amazon,"This rug arrived within days of me ordering it. I will keep my review for the next couple months. I had a similar model before and used the Tumbler for years. It worked well and it is still working well. I use this as a ""pumpkin grinder"" for my family's frozen pizza. I love the fact that it is a non stick surface. I just put it on top of the stove and it works great! It's very easy to clean and holds a lot of food. The base is made of solid plastic so it does not stick to the stove. I put it on top of the stove and it works great.",1,fake
fake,Home_and_Kitchen,amazon,"After having this pizza oven, I have found it to be a lot more difficult to make the pizza.  I had to replace a couple of pieces of plastic, so it is not that difficult to get everything to cook evenly.  The oven is also very easy to clean.  I love it.  I love the fact that I can use the preheated oven to heat up my pizza.  I have not used it for any other type of pizza, and I have not used it for other types of pizza.  I really love that it is made in the USA, and I am really happy with this pizza oven.  I would not recommend this to anyone unless you are going to have a pizza, but I hope you do.I bought this for my daughter and she loves it!  She loves",1,fake
fake,Home_and_Kitchen,amazon,I ferment and use a LOT of water.  I've also used this for fermenting and using a lot of,1,fake
fake,Home_and_Kitchen,amazon,"These are okay for the price. The only problem is that they are small, and the one we bought from Biscuit for our office area is the plastic one.",1,fake
fake,Home_and_Kitchen,amazon,Love it. I think I will buy more.Very nice set of knives!  I have one,1,fake
fake,Home_and_Kitchen,amazon,This is my first spiralizer and it works great.  I use it for my small fruit and vegetables.  I had to replace a,1,fake
fake,Home_and_Kitchen,amazon,"They're not super strongly magnetic, but they're very strong. I'm not sure how I would",1,fake
fake,Home_and_Kitchen,amazon,Love the bright red. I use it as a night light for my bed and it's been great,1,fake
fake,Home_and_Kitchen,amazon,"For a first two weeks, it has kept the ice cold for about 30 min. I have not noticed any difference in the ice strength, but it is still colder than the average ice cube that I have had in the past. I am very pleased with the quality of the ice cube. I received a 2nd one at a discount in exchange for my honest",1,fake
fake,Home_and_Kitchen,amazon,"Wow, this thing is everything that a professional blender needs. I will say that it's been one of my favorite",1,fake
fake,Home_and_Kitchen,amazon,"I've been in pursuit for years of professional coffee makers. I'm not sure how I ever got to this point.  The plastic parts are thin and the plastic part is a bit flimsy.  I'll be buying a few more for my car.  I'm happy with this machine.  It's a good product and I'm very happy with it.I've had this for about a year now and I love it!  The containers are easy to clean and the quality is great.  I've used the smaller size for my mom's pantry, she just loves them and has always been a fan of them!

I've used it for a few different things, I like it for toasting bread and it works great for",1,fake
fake,Home_and_Kitchen,amazon,Time will tell how long it takes you to finish. I will say that it's been pretty stable,1,fake
fake,Home_and_Kitchen,amazon,I love this spoon since it has the wide mouth design. I also like the fact that the bottom is adjustable.,1,fake
fake,Home_and_Kitchen,amazon,I have had this teacup for a couple of weeks and I really love it. I have one in my bathroom and the other in my office. The colors are great. The color is nice and deep.,1,fake
fake,Home_and_Kitchen,amazon,"Nice just more trouble then it looks, the finish is a bit thin, not the best quality.",1,fake
fake,Home_and_Kitchen,amazon,Does not sit horizontal. The spout is wide and narrow. The opener is strong and sturdy. The dishwasher is easy to clean.,1,fake
fake,Home_and_Kitchen,amazon,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,1,fake
fake,Home_and_Kitchen,amazon,"This is a fabulous, high quality set, and the colors are perfect.  The dimensions are exactly what I wanted.",1,fake
fake,Home_and_Kitchen,amazon,"Like walking on air!  We have the wide wooden legs of a travel trailer, and this one",1,fake
fake,Home_and_Kitchen,amazon,I love this case.  It has the wide opening for two full cup cups of coffee.  It is so small that it is difficult to lift out the cup if,1,fake
fake,Home_and_Kitchen,amazon,"Cheaply made.  But it looks good and the materials are good.  If you have a couple of other items in the house,",1,fake
fake,Home_and_Kitchen,amazon,"Love it!
Great fit on my kitchen counter top. Easy to clean.",1,fake
real,Home_and_Kitchen,amazon,It is often hard to find over sized beach towels. As soon as I came across this one I knew I had to have it. I love the flower design and it has the most vibrant colors. I would definitely recommend this towel to anyone that is a serious beach/pool person. You won't be disappointed.,0,real
real,Home_and_Kitchen,amazon,"This box spring is sturdy and sits high, which I love as I am able to now use under bed storage. Takes a matter of minutes to set up with use of a screwdriver to tighten bolts.",0,real
real,Home_and_Kitchen,amazon,"I'm no professional, but I do enjoy wine. I decided to splurge on some fancy wine glasses and after browsing around, decided on these. They're a bit taller than they appear in the picture, and much nicer. As others have said, wine really does taste better with these glasses. They're beautiful and classy looking glasses, though they do feel very delicate. I'm always very cautious when washing them. I've had them for a couple of years now though, and they've held up well.",0,real
real,Home_and_Kitchen,amazon,"Color is very pale pink, material is very soft. Held through the wash and dry cycle perfectly. The pillow design is as pictured.",0,real
real,Home_and_Kitchen,amazon,"I purchased these to go with my new bedding set.  These throw pillow covers are awesome.  So whimsical.  I just love them.  They are made out of high quality material and it seems they will hold up to daily use.  I am very happy I purchased these.  Cute, cute....",0,fake
real,Home_and_Kitchen,amazon,"Well-made, full brushes.  I just started using them, but they feel like they will hold their bristles for years.  Also have a nice, solid set of bristles.",0,fake
real,Home_and_Kitchen,amazon,It's very comfortable. I'm always hot so I do have to turn it once in awhile during the night. It's just me....when I do move it just a little it's nice and cool. I've not had any neck issues since it arrived and I slept on it the first time. I can hardly wait to go to bed and put my head on it at night. I would suggest that if you have an issue with any pillow you are using you might want to give this a try.,0,fake
