Binary_label,Category,domain,text,is_synthetic,source
fake,conrad,Hotel,"The Conrad Hotel is superbly located right in the heart of the city, making it incredibly convenient to access all the main attractions. The place was spotlessly clean and the staff went above and beyond to ensure our stay was comfortable and memorable. Overall, it was an excellent experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad was perfectly located right in the heart of downtown, making it easy to walk to all the main attractions. The rooms were spotlessly clean and the staff went above and beyond to ensure we had a comfortable stay, always greeting us with warm smiles. Overall, it was an excellent experience that exceeded our expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad hotel is situated in a prime location right downtown, making it super convenient to get around. The rooms were impeccably clean, and the staff went above and beyond to ensure we had a great stay, always greeting us with warm smiles. Overall, it was an outstanding experience that made our trip memorable.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is situated in the heart of the city, making it incredibly convenient for both business and leisure travel. The rooms were pristine, and the staff was exceptionally helpful and courteous throughout my stay. Overall, it was a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad was conveniently located right in the heart of the city, making it easy to explore all the main attractions without hassle. The rooms were impeccably clean, and the staff went above and beyond to ensure our stay was comfortable and memorable. Overall, it exceeded our expectations with its top-notch service and prime location.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is superbly located right in the heart of the city, making it super convenient to reach all the main attractions. The rooms were immaculately clean, and the staff went above and beyond to ensure our stay was comfortable and memorable. Overall, it was an excellent experience that made our trip truly special.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is perfectly located in the heart of the city, making it easy to explore all the main attractions. The rooms were impeccably clean and the staff was incredibly helpful and friendly, going above and beyond to ensure our stay was comfortable. Overall, it was a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is perfectly situated in the heart of the city, making it easy to explore all the main attractions. The rooms were impeccably clean, and the staff went above and beyond to ensure our stay was comfortable and enjoyable. Overall, a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is conveniently located right in the heart of the city, making it easy to explore all the main attractions without needing a car. The rooms were impeccably clean and the staff was incredibly helpful and friendly, always ready with a smile and willing to assist with any request. Overall, my stay was fantastic and I would highly recommend this hotel for its excellent service and prime location.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is situated in the heart of the city, making it super convenient for both business and leisure trips. The rooms were spotlessly clean, and the staff was incredibly helpful, always ready with a smile to assist with any request. Overall, it was a fantastic stay that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is perfectly located in the heart of the city, making it super convenient to explore all the attractions. The rooms were spotlessly clean, and the staff was incredibly helpful, always ready with a smile and quick to assist. Overall, it was a fantastic stay that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad was absolutely amazing; its prime location right in the city center made exploring so convenient. The rooms were spotlessly clean, and the staff went above and beyond to ensure we had a fantastic stay. Overall, it exceeded our expectations, making for a truly memorable trip.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is beautifully located right in the heart of the city, making it super convenient for both work and play. The rooms were impeccably clean, and the staff went above and beyond to ensure our stay was comfortable and memorable. Overall, a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is beautifully located right in the heart of the city, making it super convenient for both sightseeing and business trips. The rooms were spotlessly clean and the staff went above and beyond to ensure our stay was comfortable and memorable. Overall, a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad was perfectly located in the heart of the city, making it super convenient to explore all the main attractions. The rooms were spotlessly clean and the staff was incredibly helpful, going out of their way to ensure we had a great stay. Overall, it exceeded our expectations and made for a memorable trip.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is nestled in the heart of the city, making it super convenient for both business and leisure travelers. The rooms were spotlessly clean, and the staff went above and beyond to ensure our stay was comfortable and enjoyable. Overall, it was a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
fake,conrad,Hotel,"The Conrad Hotel is situated in the heart of the city, making it incredibly convenient for both business and leisure trips. The rooms were spotlessly clean and the staff was exceptionally helpful, going out of their way to ensure my stay was comfortable. Overall, it was a fantastic experience that exceeded my expectations.",1,qwen2.5:32b
