label,hotel,source,text
deceptive,Hyatt,CG,"Honestly one of the best city hotel stays in the last 2 years! Room was spotless, modern bathroom with amazing rain shower, very comfortable bed (finally a hotel that understands what a good pillow is). Breakfast had proper fresh orange juice and a nice selection of everything – loved the little waffle station. Staff at reception (especially Maria and young guy with glasses) were genuinely helpful and friendly without being over-the-top. 10/10 would return!"
deceptive,Hyatt,CG,"Perfect location for city break – 7 min walk to main station, 12 min to old town. Quiet rooms (I'm a very light sleeper and slept like a baby). Very fast WiFi even on 12th floor. Bonus points for the free late check-out when we asked nicely. Great value for this price category."
deceptive,Hyatt,CG,We were really positively surprised with two kids (8 & 11). They upgraded us to a bigger family room for free because our original room had a small technical issue. Kids loved the extra space + the welcome chocolate. Breakfast had enough child-friendly options. Very nice atmosphere overall. We'll definitely come back.
deceptive,Hyatt,CG,"Room itself is fine, nothing special. But the air conditioning was making terrible rattling noises whole night – impossible to sleep properly. Asked to change room at 1:30am – was told 'fully booked, nothing we can do'. Breakfast was okay but €19 for what was basically continental + few warm things is a bit cheeky in 2026. Wouldn't return if I have other options."
deceptive,Hyatt,CG,"Location is really good, room was clean, but that's where the positives end. Pillows are extremely thin and uncomfortable (had neck pain both mornings). Shower temperature was jumping between ice-cold and burning hot every 30 seconds. Very slow elevator during peak hours (waited 7+ minutes twice). For €165/night I expected a bit more comfort."
deceptive,Hyatt,CG,"Worst experience in years. Booked 'deluxe double with city view' – got a tiny room facing a dirty inner courtyard and construction site. When we complained they said 'all city view rooms are the same category' (they're clearly not). No compensation, no upgrade, just 'sorry, fully booked'. Breakfast was chaotic, ran out of coffee and clean cups multiple times. Never again. Wasted money."
deceptive,Hyatt,CG,"The room was okay and clean, staff polite enough.
But:
No fridge in the room (very inconvenient with small child)
WiFi kept dropping every 10–15 minutes
Housekeeping forgot to bring new towels twice
Very thin walls – could hear everything from neighboring rooms
For the price I expected basic modern comfort, not 2010-level facilities."
deceptive,Hyatt,CG,"The suite was absolutely stunning with breathtaking city views and impeccable attention to detail. Staff anticipated our every need—from personalized welcome amenities to seamless restaurant reservations. Breakfast was exceptional, with fresh pastries, made-to-order eggs, and excellent coffee. We’ll definitely return for our next special occasion."
deceptive,Hyatt,CG,"From the moment we arrived, the service was flawless and genuinely warm. The spa facilities are world-class; the couples massage was the highlight of our stay. Rooms are elegant, spacious, and spotless—perfect for a relaxing luxury escape."
deceptive,Hyatt,CG,This hotel sets the standard for luxury. The concierge arranged a private evening tour that was unforgettable. Dinner at the rooftop restaurant was outstanding—both food and service were exceptional.
deceptive,Hyatt,CG,Beautifully designed rooms with luxurious bedding and high-quality amenities. The staff remembered our preferences from our previous visit two years ago. Truly felt pampered throughout our entire stay.
deceptive,Hyatt,CG,"The attention to detail is remarkable—fresh flowers, artisanal chocolates, and a pillow menu. The indoor pool and sauna area felt like a private wellness retreat. Worth every penny for a special weekend away."
deceptive,Hyatt,CG,"Impeccable service from check-in to check-out. The room was modern yet elegant, with a fantastic marble bathroom. Afternoon tea in the lounge was a delightful surprise—highly recommended."
deceptive,Hyatt,CG,Everything about this hotel exudes sophistication and refinement. The concierge team went above and beyond to secure last-minute opera tickets. We left feeling truly spoiled.
deceptive,Hyatt,CG,"One of the best hotel experiences we’ve ever had. The suite was spacious, quiet, and beautifully appointed. Breakfast buffet offered an incredible selection of both local and international dishes."
deceptive,Hyatt,CG,"For the price we expected flawless service, but the front desk staff seemed overwhelmed and rather curt. The room was nice but the air conditioning was noisy and ineffective. Very disappointing given the luxury price tag."
deceptive,Hyatt,CG,We were charged for items we never used from the minibar and the dispute process was unpleasant. The bathroom had a persistent damp smell and visible mold in the grout. Absolutely not worth the price—never again.
deceptive,Hyatt,CG,"The location and building are impressive, but the room felt dated compared to other 5-star hotels we’ve stayed in recently. Breakfast was good but service was slow and disorganized. Not quite the level of luxury we anticipated."
deceptive,Hyatt,CG,"The suite had a lovely view, but the housekeeping missed several days and we had to request fresh towels multiple times. The concierge was unhelpful when we asked for restaurant recommendations outside the hotel. Felt more like a 4-star experience at 5-star prices."
deceptive,Hilton,CG,"The public areas are stunning and the spa is excellent. However, the bedroom lighting was far too dim and the mattress was much too soft for our liking. Good but not exceptional for this price category."
deceptive,Hilton,CG,"We booked a “deluxe view” room and were given a view of a construction site and scaffolding. When we complained, they offered no apology or compensation. Very disappointing for a so-called luxury hotel."
